scraped_at,target_date,route_name,capacity,available,sold
2026-01-18 12:54:41,2026-01-19,Ruta 1-A: Montaña Machupicchu,50,50,0
2026-01-18 12:54:41,2026-01-19,Ruta 1-B: Terraza superior,100,100,0
2026-01-18 12:54:41,2026-01-19,Ruta 2-A: Clásico Diseñada,600,343,257
2026-01-18 12:54:41,2026-01-19,Ruta 2-B: Terraza Inferior,100,72,28
2026-01-18 12:54:41,2026-01-19,Ruta 3-A: Montaña Waynapicchu,50,50,0
2026-01-18 12:54:41,2026-01-19,Ruta 3-B: Realeza diseñada,100,96,4
2026-01-18 13:10:48,2026-01-19,Ruta 1-A: Montaña Machupicchu,50,50,0
2026-01-18 13:10:48,2026-01-19,Ruta 1-B: Terraza superior,100,100,0
2026-01-18 13:10:48,2026-01-19,Ruta 2-A: Clásico Diseñada,600,333,267
2026-01-18 13:10:48,2026-01-19,Ruta 2-B: Terraza Inferior,100,65,35
2026-01-18 13:10:48,2026-01-19,Ruta 3-A: Montaña Waynapicchu,50,50,0
2026-01-18 13:10:48,2026-01-19,Ruta 3-B: Realeza diseñada,100,96,4
2026-01-18 13:10:58,2026-01-19,Ruta 1-A: Montaña Machupicchu,50,50,0
2026-01-18 13:10:58,2026-01-19,Ruta 1-B: Terraza superior,100,100,0
2026-01-18 13:10:58,2026-01-19,Ruta 2-A: Clásico Diseñada,600,333,267
2026-01-18 13:10:58,2026-01-19,Ruta 2-B: Terraza Inferior,100,65,35
2026-01-18 13:10:58,2026-01-19,Ruta 3-A: Montaña Waynapicchu,50,50,0
2026-01-18 13:10:58,2026-01-19,Ruta 3-B: Realeza diseñada,100,96,4
2026-01-18 13:42:52,2026-01-19,Ruta 1-A: Montaña Machupicchu,50,50,0
2026-01-18 13:42:52,2026-01-19,Ruta 1-B: Terraza superior,100,100,0
2026-01-18 13:42:52,2026-01-19,Ruta 2-A: Clásico Diseñada,600,318,282
2026-01-18 13:42:52,2026-01-19,Ruta 2-B: Terraza Inferior,100,62,38
2026-01-18 13:42:52,2026-01-19,Ruta 3-A: Montaña Waynapicchu,50,50,0
2026-01-18 13:42:52,2026-01-19,Ruta 3-B: Realeza diseñada,100,96,4
2026-01-18 14:06:36,2026-01-19,Ruta 1-A: Montaña Machupicchu,50,50,0
2026-01-18 14:06:36,2026-01-19,Ruta 1-B: Terraza superior,100,100,0
2026-01-18 14:06:36,2026-01-19,Ruta 2-A: Clásico Diseñada,600,317,283
2026-01-18 14:06:36,2026-01-19,Ruta 2-B: Terraza Inferior,100,62,38
2026-01-18 14:06:36,2026-01-19,Ruta 3-A: Montaña Waynapicchu,50,48,2
2026-01-18 14:06:36,2026-01-19,Ruta 3-B: Realeza diseñada,100,96,4
